x,y
778,995
856,582
933,829
101,367
849,997
238,270
377,876
907,810
303,816
748,471
476,126
556,611
504,836
308,672
318,546
512,199
819,790
344,523
214,249
897,404
582,522
249,228
120,883
248,856
369,362
796,547
150,826
969,115
479,332
790,219
857,720
279,564
951,612
860,479
809,163
585,341
533,301
363,981
774,360
100,479
484,598
163,622
336,395
144,559
692,660
780,386
370,156
179,911
599,281
478,328
629,440
313,359
401,138
104,235
920,579
482,535
581,362
667,330
290,181
834,173
339,904
604,782
810,788
514,314
486,101
612,170
698,154
607,239
973,912
439,104
623,400
918,403
933,875
820,501
349,548
311,482
897,972
486,842
535,813
339,849
888,326
994,910
450,159
990,566
279,855
929,682
398,227
777,237
871,908
579,141
326,375
500,392
562,451
275,985
795,153
158,951
730,155
176,826
844,712
726,887
446,340
345,405
239,711
519,979
680,367
961,766
156,546
253,704
173,196
895,367
357,414
229,897
667,808
903,869
480,849
782,344
753,379
599,724
260,359
600,347
246,961
859,831
541,403
351,384
695,663
375,779
323,290
670,139
268,454
429,387
844,991
632,134
148,766
537,969
931,888
1000,585
588,240
752,961
527,533
869,788
404,500
615,896
880,936
698,990
571,413
792,239
406,1000
772,900
322,958
160,307
178,101
559,692
353,601
663,256
634,757
952,512
184,841
878,871
204,657
535,299
557,261
275,592
577,915
306,464
309,480
682,808
419,173
800,178
474,470
292,725
174,104
259,274
104,568
406,157
355,764
259,574
442,448
803,405
401,867
457,763
338,529
953,274
320,295
919,442
950,977
541,651
916,181
302,511
798,460
129,286
175,412
739,765
603,766
757,339
776,150
360,899
329,854
668,342
692,220
774,679
444,885
753,210
981,425
845,242
143,707
284,384
256,788
466,578
437,618
370,815
849,263
783,368
291,891
924,154
197,967
735,668
771,242
370,521
325,766
965,413
568,147
687,945
876,237
467,586
580,928
591,893
788,369
128,732
1000,345
379,517
660,538
340,398
832,591
613,596
391,178
894,876
716,306
933,763
135,405
312,978
279,240
266,321
500,685
322,428
707,813
735,782
948,964
836,548
219,458
584,266
766,379
330,153
343,877
591,755
818,355
431,472
268,922
652,169
855,832
370,592
539,128
206,596
638,395
243,366
226,297
888,697
374,205
241,740
951,218
712,259
684,446
968,439
542,742
720,867
254,367
367,213
597,952
282,813
736,912
331,222
357,872
498,384
431,165
739,849
421,857
970,924
959,1000
444,118
436,332
646,907
690,920
914,963
564,643
600,344
652,299
488,654
190,792
244,465
406,267
161,619
834,960
634,463
900,373
829,761
199,130
802,625
259,161
209,790
609,226
767,782
599,121
696,824
593,317
303,956
696,724
711,988
447,137
925,332
997,205
732,487
358,123
112,125
780,820
728,414
375,154
136,836
423,415
822,721
288,919
450,277
123,233
217,243
975,716
493,369
997,549
767,281
793,975
893,333
804,506
215,451
668,176
130,220
879,998
932,616
149,525
521,689
440,144
474,615
219,895
383,573
931,408
308,456
807,979
723,453
805,435
716,945
395,875
905,197
208,918
927,813
386,925
426,379
356,765
535,558
230,289
484,360
322,536
817,398
632,780
457,716
938,264
961,929
713,882
752,794
990,724
397,976
376,820
452,943
108,507
281,998
779,126
385,506
569,688
884,855
298,294
262,732
893,274
501,392
763,854
605,718
791,150
172,607
186,753
980,638
252,266
185,660
837,749
717,411
221,856
930,561
319,169
122,372
396,857
408,825
671,856
576,558
729,658
988,645
728,808
814,932
992,570
528,175
326,905
751,797
770,652
359,532
630,216
103,736
958,822
495,290
729,648
790,601
735,159
832,496
343,195
133,936
437,229
838,293
586,442
979,711
810,569
306,132
261,655
474,131
352,653
684,557
243,367
810,766
114,424
313,285
404,428
335,291
569,784
773,170
338,384
351,380
572,746
773,250
209,167
481,325
138,769
285,552
987,598
857,460
871,185
731,776
961,922
974,885
814,710
472,543
827,148
195,964
512,510
217,509
405,406
960,675
854,625
818,270
964,377
455,304
738,545
916,685
901,827
554,969
851,318
159,590
984,404
589,114
714,752
357,509
766,983
829,588
115,918
841,346
504,426
826,374
691,407
368,516
720,401
843,994
261,734
151,923
177,407
917,757
367,907
638,435
540,445
619,145
937,667
938,773
667,393
339,149
234,660
557,652
102,252
784,373
452,394
780,528
480,423
920,343
739,668
390,831
683,362
264,783
569,278
771,256
803,724
259,524
623,494
997,320
797,923
981,496
771,638
383,538
306,763
681,538
605,731
261,733
359,430
699,144
107,456
904,984
176,338
173,863
895,260
993,695
270,684
697,723
238,122
359,878
561,738
880,192
117,413
322,810
368,778
685,979
133,705
617,398
568,596
491,183
143,604
511,876
614,826
476,215
207,217
818,786
524,277
777,804
713,661
709,927
960,626
919,149
250,422
454,125
510,141
708,636
939,901
722,549
950,739
572,180
509,584
904,690
653,411
758,681
145,441
872,636
396,414
812,585
422,116
531,731
509,499
675,548
376,988
535,645
576,392
391,849
765,129
122,116
979,397
474,598
297,748
843,848
211,331
557,624
199,878
650,867
540,153
735,701
742,739
671,372
555,503
412,159
397,447
442,454
177,840
698,459
716,928
629,973
271,636
701,931
781,711
242,248
704,486
674,529
724,130
852,566
263,549
166,661
282,593
100,451
872,397
666,268
486,838
251,835
565,437
912,873
664,812
684,917
611,347
254,171
186,124
535,901
548,157
148,714
356,925
868,747
713,637
597,173
411,720
496,761
756,511
681,855
690,990
889,692
521,725
844,337
468,234
698,207
943,227
149,429
554,327
119,114
862,946
985,878
752,219
178,989
543,645
650,109
718,151
414,814
418,809
763,882
126,749
524,551
845,302
826,955
314,206
613,224
974,918
487,377
237,385
868,700
655,642
501,491
411,249
562,468
971,195
613,902
632,883
199,259
784,966
597,369
425,642
526,339
209,790
580,929
979,473
654,183
899,966
272,614
547,666
368,924
876,232
105,441
984,827
248,342
635,937
710,980
273,369
988,930
630,909
288,156
972,850
609,127
275,117
287,210
995,585
219,916
909,397
537,301
195,826
291,964
540,717
273,252
724,660
734,819
947,187
577,369
416,647
434,445
676,134
802,515
518,756
915,464
562,640
166,905
434,300
357,384
561,144
109,378
983,932
816,230
309,673
630,335
636,397
817,992
172,206
192,266
229,440
981,435
593,521
830,662
666,392
432,851
727,970
488,837
201,984
324,453
174,130
892,884
333,165
971,840
258,402
655,571
506,637
941,154
484,993
461,164
544,386
166,635
638,488
878,594
841,652
958,214
129,724
311,848
229,808
486,730
681,519
542,284
483,207
289,587
528,760
624,341
430,581
541,276
727,980
559,309
853,600
347,885
998,785
618,682
209,855
745,514
363,999
599,590
926,885
157,448
235,891
429,396
202,695
203,857
759,179
962,326
118,863
583,474
509,737
239,241
640,257
566,849
304,177
282,697
427,333
669,397
952,801
891,651
672,702
213,237
807,900
400,200
343,782
521,367
489,530
905,737
977,226
961,860
639,295
941,682
419,988
411,154
558,569
944,730
771,529
169,166
965,581
386,978
956,138
895,716
670,933
446,526
682,835
773,751
216,312
491,722
891,133
497,352
109,739
643,584
325,375
262,247
317,548
136,842
527,688
187,324
981,911
602,343
899,967
767,619
399,451
653,871
989,979
618,393
358,628
222,131
434,644
265,325
487,508
796,618
737,222
963,627
969,830
802,743
417,444
278,317
212,635
885,363
815,309
124,379
472,357
475,414
627,814
790,261
113,303
131,916
639,536
970,179
822,871
331,709
736,994
945,424
562,214
267,141
534,439
822,820
694,811
429,686
906,863
500,982
530,636
618,349
794,642
892,901
178,471
786,371
557,511
732,891
205,101
853,837
353,298
738,588
946,697
590,686
554,427
294,677
639,696
411,128
704,552
633,894
205,216
784,308
849,836
790,699
637,121
587,564
118,214
322,475
841,311
135,809
908,330
243,912
558,541
763,665
177,127
566,879
947,1000
400,832
996,653
193,400
879,917
145,942
354,886
234,145
153,445
640,829
821,883
629,505
422,370
654,590
225,136
536,408
715,329
350,182
741,359
667,579
212,448
152,815
652,604
276,637
626,378
141,813
979,926
467,375
865,744
823,902
877,456
138,799
325,489
422,661
964,776
687,401
796,393
743,174
324,114
711,511
346,205
693,912
843,635
165,806
522,283
782,550
776,985
258,560
221,382
881,410
157,297
904,982
829,587
739,270
718,996
343,206
118,728
779,941
425,996
547,464
751,604
227,425
322,463
289,936
553,276
136,299
992,282
668,351
234,985
805,892
738,255
847,932
271,733
609,223
717,363
976,564
678,128
872,706
899,486
545,421
777,781
704,157
124,847
796,579
318,825
361,415
295,314
428,508
474,564
318,478
109,259
156,240
810,813
819,110
592,410
883,512
222,318
350,794
232,451
623,947
204,321
660,585
998,443
478,436
634,136
473,418
355,787
244,355
141,258
755,721
914,219
920,239
792,251
388,134
432,177
365,841
839,129
496,678
249,522
818,828
514,855
198,146
383,698
762,897
420,184
319,771
468,299
541,940
296,886
488,991
639,271
624,569
146,618
213,266
773,166
673,568
223,871
959,196
736,553
240,124
622,683
912,338
434,343
715,840
432,926
700,276
607,877
177,330
855,121
459,734
120,659
794,364
504,646
477,572
374,203
475,891
939,723
541,370
511,873
927,966
867,809
252,933
255,840
667,214
251,103
647,917
461,413
970,218
230,235
131,102
124,494
112,810
140,523
424,993
464,908
695,185
857,924
838,909
775,275
631,180
238,222
628,929
980,117
992,758
118,296
528,574
784,432
196,324
356,388
663,373
498,912
815,414
917,828
693,173
501,449
678,937
255,543
207,675
724,155
600,326
121,865
924,978
823,686
119,568
733,188
998,732
482,767
273,205
554,395
560,777
793,288
764,649
458,414
659,848
778,961
616,179
451,123
637,832
924,217
289,569
825,477
232,439
892,968
118,244
794,332
257,786
771,813
813,660
594,599
390,471
844,858
333,454
293,374
263,944
615,973
589,766
150,540
196,655
888,296
447,500
995,234
957,978
195,115
540,727
443,758
953,912
770,484
304,883
886,316
390,710
212,903
752,795
932,630
388,737
907,645
540,321
479,847
521,433
460,685
378,629
717,117
902,504
608,691
317,899
958,567
645,309
400,584
731,908
117,793
160,599
976,573
783,957
615,404
948,381
294,611
466,133
958,925
361,207
591,943
600,183
561,555
861,152
377,767
478,215
364,147
246,402
519,235
794,921
332,635
506,412
534,441
456,146
155,752
497,170
763,538
343,542
328,893
386,510
811,180
257,306
654,448
1000,351
384,947
546,123
160,612
776,826
333,963
319,618
903,398
922,788
223,615
921,445
500,552
824,928
819,632
861,917
781,932
248,358
393,534
896,189
627,890
809,208
493,282
630,902
219,825
606,216
220,273
167,218
232,521
594,931
942,665
746,985
516,247
959,488
689,284
342,516
972,409
161,717
548,818
216,181
641,228
769,256
714,804
777,141
567,249
896,249
690,220
470,357
968,221
247,240
937,810
259,376
263,895
670,788
846,287
523,136
307,760
756,597
566,332
549,911
104,734
481,224
641,536
550,737
633,957
1000,401
586,386
200,872
444,466
323,383
175,319
309,257
102,474
114,948
284,437
756,824
902,849
260,615
524,147
217,774
552,454
449,370
276,524
655,893
394,203
106,513
319,733
108,383
701,346
790,109
455,837
149,926
469,167
980,568
515,237
158,298
422,764
433,250
377,511
144,591
545,658
762,733
211,704
161,798
360,959
386,297
774,244
760,167
435,934
932,735
132,755
662,324
689,318
908,872
768,296
605,985
511,511
627,176
711,953
326,514
273,380
950,511
851,147
119,231
933,779
126,642
706,608
930,333
109,120
386,719
962,729
236,975
945,537
488,243
965,211
351,507
761,205
884,521
781,838
441,411
728,652
883,644
525,261
905,664
965,727
604,790
180,566
368,494
752,473
558,127
295,222
425,273
286,573
872,960
347,191
937,767
519,171
146,224
929,540
326,213
777,684
653,113
239,438
594,442
933,696
711,604
949,135
597,609
162,106
711,345
337,668
364,803
908,118
503,612
331,689
404,795
753,672
952,259
534,622
605,136
314,385
110,495
237,852
407,561
289,831
906,549
249,643
688,672
353,752
782,719
673,200
812,150
441,569
496,529
919,845
115,931
626,759
586,498
728,810
971,108
523,116
905,955
953,529
994,560
154,114
169,697
309,709
697,666
443,497
129,181
606,144
969,232
373,994
450,474
717,772
435,635
609,720
446,172
437,587
602,126
279,831
164,837
400,734
907,276
544,694
578,862
188,531
331,105
363,191
236,965
281,486
222,919
818,861
430,529
986,306
389,617
679,478
468,762
452,352
113,647
854,959
638,368
638,864
360,736
227,480
221,237
123,341
745,414
978,120
281,647
164,986
381,884
908,422
569,238
731,531
746,252
766,604
685,125
677,499
765,305
798,358
577,831
850,955
812,890
598,175
931,203
343,583
490,334
899,822
795,401
692,313
464,322
745,872
455,237
693,686
145,941
831,584
743,643
734,497
580,945
412,619
162,387
140,288
629,310
458,446
237,169
365,933
177,652
605,391
952,847
230,120
408,575
185,175
934,956
486,640
451,163
884,380
396,271
691,950
757,532
363,582
668,293
420,363
327,309
550,436
819,535
305,299
775,253
988,389
676,930
374,803
693,905
827,288
856,943
931,285
325,851
785,682
204,654
980,447
580,349
219,461
502,768
152,216
308,625
147,323
978,244
741,233
111,999
350,499
140,981
406,245
997,183
837,520
796,482
923,983
370,949
230,357
331,230
837,840
377,683
223,850
575,937
652,496
306,432
316,405
243,805
283,656
925,695
589,230
917,702
848,894
163,449
892,867
360,733
965,226
205,685
697,305
710,669
945,300
544,354
260,867
632,486
709,222
800,854
323,751
563,547
773,763
561,300
492,691
646,826
514,658
885,894
452,705
913,718
634,247
973,436
311,966
846,862
849,977
843,234
291,346
596,775
731,972
376,171
258,777
674,660
773,909
560,487
960,827
260,225
252,673
148,999
454,964
968,973
979,616
401,111
378,705
918,498
850,737
618,886
997,482
501,559
799,283
768,470
499,669
492,102
355,750
519,287
728,400
823,394
943,142
380,588
643,757
910,893
733,588
179,765
568,930
870,644
674,169
843,751
151,850
565,922
801,707
283,166
449,941
194,168
758,680
484,282
679,290
535,726
218,173
810,825
322,816
386,138
496,788
527,637
954,237
341,103
147,693
938,663
641,588
210,972
206,999
832,211
851,844
994,460
438,149
500,326
670,376
388,921
831,446
785,734
988,752
125,546
459,612
870,578
118,713
582,774
825,325
568,540
601,335
231,960
621,759
154,368
554,702
235,878
210,194
902,109
361,760
300,931
533,292
842,386
747,682
853,900
963,510
103,983
679,108
582,134
914,123
975,182
652,887
719,660
616,199
420,451
433,697
363,730
124,484
668,508
576,284
881,808
709,467
805,402
489,281
174,244
109,503
163,178
580,646
972,941
101,688
544,443
614,987
550,354
479,793
424,762
469,217
255,707
249,473
904,604
802,908
840,269
683,841
648,746
375,922
847,147
946,306
205,652
918,797
656,680
681,328
714,114
682,902
956,199
740,542
346,436
917,993
820,798
799,332
755,260
813,916
743,981
835,154
260,300
469,100
660,156
706,172
536,393
352,523
499,497
151,651
336,943
507,102
675,769
728,646
823,237
140,697
777,902
256,853
976,787
949,796
500,984
827,751
817,431
626,167
888,131
586,741
744,606
538,371
763,809
698,552
740,950
347,525
869,455
560,245
639,989
846,771
916,986
381,849
488,619
145,728
502,426
819,461
796,750
323,868
653,306
185,501
610,876
588,930
438,658
872,752
124,827
714,289
477,794
330,814
899,910
798,423
513,593
635,112
388,105
552,900
193,825
597,752
389,364
550,835
754,584
449,940
772,460
364,588
216,737
219,330
933,565
509,950
767,348
154,502
484,807
170,614
843,724
255,718
106,945
172,320
154,823
899,135
114,848
211,698
271,662
465,636
923,990
361,276
935,320
460,140
280,226
545,942
216,199
466,551
955,449
833,481
652,844
338,566
225,294
975,187
159,472
514,833
244,184
168,683
957,214
288,484
440,671
736,832
245,595
442,584
364,471
576,997
908,721
375,904
737,167
611,793
615,422
792,283
244,514
781,428
771,528
307,645
233,459
986,323
679,406
858,980
681,675
176,521
303,437
957,286
610,384
354,826
990,186
581,922
826,342
829,660
668,473
587,328
420,735
934,815
442,303
641,642
457,958
434,168
862,600
779,829
286,265
158,203
335,226
304,342
428,986
505,468
416,604
794,891
855,390
101,909
256,701
248,276
906,151
471,307
490,183
168,896
658,742
689,861
804,905
743,621
654,945
261,517
490,447
982,498
874,172
205,465
588,556
943,544
578,622
397,327
404,655
139,430
814,149
822,983
778,332
441,436
212,629
348,698
929,363
185,531
744,246
890,942
337,697
472,952
944,575
582,261
569,324
796,353
311,828
920,733
766,827
491,400
596,709
346,444
873,910
906,186
219,756
303,895
853,733
108,176
968,665
850,180
837,580
917,233
387,329
209,792
646,644
621,180
742,236
783,710
1000,845
451,339
709,239
362,481
726,658
212,923
847,153
244,420
961,586
602,684
133,564
302,756
527,904
599,756
429,227
934,519
213,739
497,445
816,843
640,427
885,192
981,111
376,840
161,679
211,582
365,957
978,733
948,567
350,741
886,764
923,866
429,635
175,333
111,127
986,989
836,872
722,657
466,778
554,643
356,282
108,986
629,980
736,199
953,293
928,820
872,950
529,511
661,452
901,855
980,975
436,523
858,800
441,200
698,327
1000,355
929,596
671,695
120,666
757,481
761,153
636,937
822,496
718,238
871,197
157,780
431,657
802,323
506,698
555,226
826,192
112,137
919,530
248,769
431,946
178,649
223,958
599,111
388,482
437,403
375,154
987,227
732,992
149,739
383,190
252,279
924,332
304,464
295,312
210,380
366,552
363,765
359,934
283,244
985,642
814,516
979,200
237,365
601,763
191,123
367,605
440,999
602,501
351,359
250,844
796,894
480,920
808,964
755,451
145,752
806,988
904,358
583,724
812,215
283,952
815,899
799,744
300,645
197,515
390,619
771,143
979,290
600,149
700,645
779,773
351,146
918,508
532,138
223,974
553,323
775,770
570,514
543,260
492,246
550,449
919,500
893,486
515,809
643,909
962,148
304,249
857,605
261,184
214,762
186,167
975,351
413,197
944,953
167,885
865,816
901,813
421,634
537,579
442,656
108,421
410,712
301,447
558,164
691,195
872,919
166,182
472,634
653,974
735,840
379,820
760,226
839,240
239,287
390,254
805,225
809,231
421,581
693,204
516,622
170,437
724,241
351,197
463,256
327,181
922,655
741,470
981,819
595,314
326,703
311,747
741,322
287,355
708,446
642,763
121,371
471,458
510,713
768,690
797,437
305,649
246,460
424,711
884,319
429,210
860,822
328,908
946,261
768,762
250,594
793,520
477,356
800,818
962,331
326,408
835,853
738,651
812,940
522,572
250,913
406,324
681,768
293,270
520,706
559,658
293,517
940,910
748,294
733,676
669,158
575,320
666,661
316,171
671,223
879,501
513,748
778,244
255,665
992,480
742,839
874,493
726,740
749,106
910,658
412,557
290,304
462,965
271,709
191,655
746,467
371,422
623,621
967,733
943,361
624,344
671,961
195,549
132,382
210,184
975,240
903,171
151,934
939,356
544,545
148,351
980,922
678,688
832,317
789,238
704,998
649,937
567,279
732,620
579,148
249,296
818,144
712,908
382,213
713,407
638,868
251,663
890,393
704,325
296,402
751,393
449,960
628,904
488,770
931,304
459,795
577,722
390,985
483,292
428,594
231,265
934,191
798,444
207,630
876,678
307,949
723,233
283,694
625,869
438,388
344,603
978,735
834,240
602,111
359,917
648,124
131,467
753,248
881,761
495,431
206,860
889,849
997,835
636,104
926,672
311,980
581,619
268,529
530,164
336,801
890,826
310,270
372,371
388,343
456,615
838,221
284,721
995,611
456,347
757,761
905,871
685,535
518,176
894,935
948,510
272,865
275,854
221,926
844,992
684,375
955,717
425,811
401,100
538,961
239,825
553,654
621,149
342,141
810,243
948,297
665,650
492,293
260,724
131,110
274,553
242,332
916,374
811,996
761,970
643,490
956,632
701,125
969,402
801,420
174,147
416,413
601,772
980,288
316,236
141,776
693,716
282,941
542,776
419,644
248,419
804,166
488,895
365,639
202,557
622,630
370,952
168,965
100,461
581,186
229,527
312,245
800,990
694,484
304,942
952,807
837,991
644,581
248,739
161,842
200,623
743,620
566,822
565,852
426,472
933,389
220,604
105,924
646,123
809,420
604,316
915,689
629,383
600,658
173,814
762,153
878,172
569,178
329,958
672,267
937,860
478,598
471,546
266,242
779,165
239,698
407,894
428,375
743,971
366,785
342,196
380,771
457,767
585,555
345,152
358,470
491,116
593,412
906,932
559,218
469,951
367,732
148,539
517,442
424,802
649,938
591,902
764,663
674,644
858,477
663,129
484,192
962,273
902,543
925,859
390,294
515,504
378,650
511,915
565,661
568,816
960,494
261,133
782,337
363,909
662,925
889,121
960,861
613,743
498,662
813,765
547,239
448,845
275,595
409,369
307,557
998,934
972,286
442,677
364,136
820,517
877,334
911,989
974,253
758,830
839,670
893,590
212,627
774,892
885,922
951,461
727,330
343,940
248,353
914,354
662,187
220,546
360,134
797,672
782,890
695,333
566,574
263,483
465,278
920,409
769,333
914,767
430,553
631,437
859,833
945,865
946,667
462,383
238,813
228,395
497,962
364,784
976,575
704,467
506,890
272,417
218,676
604,815
938,470
562,444
624,623
959,355
410,687
133,717
922,341
509,757
410,389
644,980
997,425
764,350
139,858
647,627
883,806
700,765
319,135
672,590
823,918
229,562
121,284
788,930
970,744
520,746
688,635
229,157
350,413
582,270
370,443
687,148
886,254
663,672
742,490
361,863
627,940
685,837
157,184
794,791
625,631
155,380
912,720
794,320
696,282
262,242
655,272
717,873
644,179
1000,164
576,826
390,279
310,494
685,223
430,517
502,515
511,784
380,448
729,515
455,715
893,578
403,767
942,572
128,161
403,395
310,648
117,485
855,152
271,316
